1,1056.25,32.5,1.14,60,0.14,0.38,27.97,96.1,310,54.87,14.44,3.8,0.017
1,2580.64,50.8,1.14,60,0.14,0.38,27.97,96.1,310,54.87,14.44,3.8,0.0108
1,5806.33,76.2,1.14,60,0.14,0.38,27.97,96.1,310,54.87,14.44,3.8,0.0082
1,11363.56,106.6,1.14,60,0.14,0.38,27.97,96.1,310,54.87,14.44,3.8,0.0083
1,2580.64,50.8,0.79,60,0.14,0.38,27.97,96.1,310,54.87,14.44,3.8,0.65
1,2580.64,50.8,1.14,60,0.14,0.38,27.97,96.1,310,54.87,14.44,3.8,0.51
1,2580.64,50.8,1.63,60,0.14,0.38,27.97,96.1,310,54.87,14.44,3.8,0.45
1,2580.64,50.8,1.14,10,0.14,0.38,27.97,96.1,310,54.87,14.44,3.8,0.0497
1,2580.64,50.8,1.14,20,0.14,0.38,27.97,96.1,310,54.87,14.44,3.8,0.0494
1,2580.64,50.8,1.14,30,0.14,0.38,27.97,96.1,310,54.87,14.44,3.8,0.0491
1,2580.64,50.8,1.14,40,0.14,0.38,27.97,96.1,310,54.87,14.44,3.8,0.0488
1,2580.64,50.8,1.14,50,0.14,0.38,27.97,96.1,310,54.87,14.44,3.8,0.0485
1,2580.64,50.8,1.14,180,0.14,0.38,27.97,96.1,310,54.87,14.44,3.8,0.04
1,2580.64,50.8,1.14,60,0.07,0.28,27.97,96.1,310,54.87,14.44,3.8,0.41
1,2580.64,50.8,1.14,60,0.11,0.33,27.97,96.1,310,54.87,14.44,3.8,0.48
1,2580.64,50.8,1.14,60,0.14,0.38,27.97,96.1,310,54.87,14.44,3.8,0.52
1,2580.64,50.8,1.14,60,0.18,0.43,27.97,96.1,310,54.87,14.44,3.8,0.45
1,2580.64,50.8,1.14,60,0.14,0.38,5.08,29.58,172,54.87,14.44,3.8,0.25
1,2580.64,50.8,1.14,60,0.14,0.38,13.99,58.08,241,54.87,14.44,3.8,0.42
1,2580.64,50.8,1.14,60,0.14,0.38,27.97,96.1,310,54.87,14.44,3.8,0.52
1,2580.64,50.8,1.14,60,0.14,0.38,46.27,128.88,359,54.87,14.44,3.8,0.55
1,2580.64,50.8,1.14,60,0.14,0.38,27.97,96.1,310,6.86,3.61,1.9,0.29
1,2580.64,50.8,1.14,60,0.14,0.38,27.97,96.1,310,54.87,14.44,3.8,0.5
1,2580.64,50.8,1.14,60,0.14,0.38,27.97,96.1,310,185.19,32.49,5.7,0.6
1,2580.64,50.8,1.14,60,0.14,0.38,27.97,96.1,310,438.98,57.76,7.6,0.8
1,2580.64,50.8,1.14,60,0.14,0.38,27.97,96.1,310,857.38,90.25,9.5,0.84
1,2580.64,50.8,1.14,60,0.14,0.38,27.97,96.1,310,1481.54,129.96,11.4,1.18
